"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"
"Ten Thousand Nights: Highlights from 50 Years of Theatre-Going"	"9780472130504"	"9780472123155"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9209293"	"Carlson"	"10.3998/mpub.9209293"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"The British Blues Network: Adoption, Emulation, and Creativity"	"9780472130528"	"9780472123209"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.2969715"	"Kellett"	"10.3998/mpub.2969715"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"The Celebration of Death in Contemporary Culture"	"9780472130269"	"9780472122622"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9296915"	"Khapaeva"	"10.3998/mpub.9296915"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"The Critics and the Prioress: Antisemitism, Criticism, and Chaucer's Prioress's Tale"	"9780472130344"	"9780472122813"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.6426582"	"Johnson"	"10.3998/mpub.6426582"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"The Distinction of Peace: A Social Analysis of Peacebuilding"	"9780472073412"	"9780472900763"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.7484138"	"Goetze"	"10.3998/mpub.7484138"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"F"
"The Fanfiction Reader: Folk Tales for the Digital Age"	"9780472073481"	"9780472122783"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9479376"	"Coppa"	"10.3998/mpub.9479376"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"The Gourmet Club: A Sextet"	"9780472073351"	"9780472122592"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9409189"	"Tanizaki Jun'ichiro"	"10.3998/mpub.9409189"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"The Holocaust, Corporations, and the Law: Unfinished Business"	"9780472073610"	"9780472905638"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.7719249"	"Bilsky"	"10.3998/mpub.7719249"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"F"
"The Jazz Republic: Music, Race, and American Culture in Weimar Germany"	"9780472073405"	"9780472900817"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9416956"	"Wipplinger"	"10.3998/mpub.9416956"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"F"
"The Little Death of Self: Nine Essays toward Poetry"	"9780472073474"	"9780472122776"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9478071"	"Boruch"	"10.3998/mpub.9478071"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"The Mirror Diary: Selected Essays"	"9780472037025"	"9780472123292"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9408317"	"Hongo"	"10.3998/mpub.9408317"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"The Most Noble of People: Religious, Ethnic, and Gender Identity in Muslim Spain"	"9780472130283"	"9780472902583"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9297351"	"Coope"	"10.3998/mpub.9297351"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"F"
"The Regional Roots of Russia's Political Regime"	"9780472130184"	"9780472122462"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9281269"	"Reisinger"	"10.3998/mpub.9281269"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"The Rise of the Representative: Lawmakers and Constituents in Colonial America"	"9780472130399"	"9780472122929"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9429646"	"Squire"	"10.3998/mpub.9429646"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"The Roman Community at Table during the Principate, New and Expanded Edition"	"9780472036950"	"9780472123179"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9716491"	"Donahue"	"10.3998/mpub.9716491"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	"New and expanded edition"	""	""	""	"P"
"The Sixties, Center Stage: Mainstream and Popular Performances in a Turbulent Decade"	"9780472073368"	"9780472122608"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9286618"	"Harding"	"10.3998/mpub.9286618"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"The Taiwan Voter"	"9780472073535"	"9780472123032"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9375036"	"Achen"	"10.3998/mpub.9375036"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"F"
"The War in Their Minds: German Soldiers and Their Violent Pasts in West Germany"	"9780472118977"	"9780472122516"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.4586890"	"Goltermann"	"10.3998/mpub.4586890"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"The Woman Who Knew Too Much, Revised Ed.: Alice Stewart and the Secrets of Radiation"	"9780472073566"	"9780472122974"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9499005"	"Greene"	"10.3998/mpub.9499005"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-02-04"	""	"2nd Edition"	""	""	""	"P"
"Theoretical Approaches to the Archaeology of Ancient Greece: Manipulating Material Culture"	"9780472130238"	"9780472122530"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.8287082"	"Nevett"	"10.3998/mpub.8287082"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Unsettled History: Making South African Public Pasts"	"9780472073344"	"9780472122554"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9200634"	"Witz"	"10.3998/mpub.9200634"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Water and Politics: Clientelism and Reform in Urban Mexico"	"9780472130320"	"9780472904341"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9210462"	"Herrera"	"10.3998/mpub.9210462"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"F"
"Wendy Wasserstein"	"9780472073627"	"9780472123131"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.351280"	"Dolan"	"10.3998/mpub.351280"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"When Informal Institutions Change: Institutional Reforms and Informal Practices in the Former Soviet Union"	"9780472130474"	"9780472123100"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.8772004"	"Aliyev"	"10.3998/mpub.8772004"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
